1235500001,씨유 뉴현리맹호,홍길동,경기도 가평군 조종면 현리 74-18번지 ,,01005436736,,37.8340759,127.3447068,stock1
1235500002,씨유 청평역점,홍길동,경기도 가평군 청평면 청평리 388-10번지,,01019043210,,37.7371028,127.4225919,stock2
1235500003,세븐일레븐(가평설악방주점),홍길동,경기도 가평군 설악면 신천리 601번지,,01055249975,,37.6752273,127.4856186,stock3
1235500004,GS25남이섬,홍길동,"경기도 가평군 가평읍 달전리 113-4번지 , 1층",,01068366566,,37.8065694,127.5252959,stock4
1235500005,지에스25가평터미널,홍길동,경기도 가평군 가평읍 대곡리 169-1번지 ,,01034777297,,37.8243149,127.5157212,stock5
1235500006,CU가평수성가든점,홍길동,경기도 가평군 상면 태봉리 355-5번지 ,,01048875357,,37.79726163,127.3341219,stock6
1235500007,GS25 대성리점,홍길동,경기도 가평군 청평면 대성리 399-25번지,,01084599987,,37.6839428,127.3782382,stock7
1235500008,바이더웨이 가평설악점,홍길동,경기도 가평군 설악면 신천리 432-6번지,,01066278188,,37.6777268,127.4912459,stock8
1235500009,이마트24 가평현리점,홍길동,경기도 가평군 조종면 현리 477-117번지 백운종합마트 ,,01080307054,,37.8144793,127.3495414,stock9
1235500010,지에스25 가평신상리점,홍길동,경기도 가평군 조종면 신상리 131-1번지 ,,01084973110,,37.84645416,127.3554286,stock10
1235500011,이마트24 유명산점,홍길동,경기도 가평군 설악면 가일리 193-25번지 ,,01087078914,,37.59929179,127.4927485,stock11
1235500012,세븐일레븐 조종현리점,홍길동,경기도 가평군 조종면 현리 278-2번지 ,,01045640434,,37.82011766,127.3500676,stock12
1235500013,씨유설악신천점,홍길동,경기도 가평군 설악면 신천리 570-1번지 ,,01066789269,,37.67836169,127.4858656,stock13
1235500014,이마트24 뮤직빌리지점,홍길동,경기도 가평군 가평읍 대곡리 145-4번지 1층 ,,01070618959,,37.8218694,127.5124901,stock14
1235500015,이마트24청평대성점,홍길동,경기도 가평군 청평면 청평리 440-3번지,,01097378125,,37.7361347,127.416086,stock15
1235500016,씨유현리청군로점,홍길동,경기도 가평군 조종면 현리 477-266번지 1층 ,,01032223048,,37.8110138,127.3515125,stock16
1235500017,씨유현리희망로점,홍길동,경기도 가평군 조종면 현리 412-7번지 1층 ,,01024808442,,37.8182287,127.3490365,stock17
1235500018,세븐일레븐가평도대리점,홍길동,경기도 가평군 북면 도대리 399-1번지 1층 ,,01032066622,,37.9597444,127.4719086,stock18
1235500019,GS25가평조종점,홍길동,경기도 가평군 조종면 현리 410-18번지,,01063718243,,37.8169239,127.348508,stock19
1235500020,이마트24 가평가화로점,홍길동,경기도 가평군 가평읍 읍내리 764-1번지 ,,01045927126,,37.8386491,127.5073003,stock20
1235500021,씨유 가평읍내점,홍길동,경기도 가평군 가평읍 읍내리 446-5번지,,01042476318,,37.8313177,127.5130549,stock21
1235500022,씨유가평대로점,홍길동,경기도 가평군 가평읍 읍내리 626-13번지 정명빌라 A동 1층 101호 ,,01071600126,,37.8336121,127.5116735,stock22
1235500023,GS25가평상천휴게소점,홍길동,경기도 가평군 청평면 상천리 142-1번지,,01072824982,,37.7873513,127.462893,stock23
1235500024,GS25청평대교점,홍길동,경기도 가평군 청평면 청평리 701-16번지,,01085237973,,37.727913,127.4097562,stock24
1235500025,지에스(GS)25 가평중앙점,홍길동,경기도 가평군 가평읍 읍내리 637-6번지 외 1필지,,01042307841,,37.8337309,127.5091866,stock25
1235500026,세븐일레븐 설악유명산점,홍길동,경기도 가평군 설악면 방일리 378-1번지 나그네쉼터 ,,01049393000,,37.6173452,127.4910546,stock26
1235500027,후마트,홍길동,"경기도 가평군 가평읍 마장리 800-13번지 외2필지, 1층 A동 ",,01093728001,,37.84678754,127.5055354,stock27
1235500028,세븐일레븐남이섬점,홍길동,경기도 가평군 가평읍 달전리 110-1번지 외1필지 1동 1층 ,,01047531463,,37.80522528,127.5251054,stock28
1235500029,미니스톱청평청구점,홍길동,경기도 가평군 청평면 청평리 470-37번지 청평청구아파트 상가동 1층 102호,,01080518193,,37.7384368,127.4173127,stock29
1235500030,GS25경춘대성,홍길동,경기도 가평군 청평면 대성리 621-4번지,,01066473765,,37.6783872,127.3771787,stock30
1235500031,캠프(CAMP)할인마트,홍길동,경기도 가평군 조종면 현리 74-7번지 외 1필지(74-8) ,,01086124317,,37.83469974,127.3453194,stock31
1235500032,씨유 대성리점,홍길동,경기도 가평군 청평면 대성리 399-77번지,,01087111236,,37.683221,127.3785633,stock32
